"",,,,,,,YTD March FY 2022,,,,
"",,,,,Adjusted,,,,,,
"($s in Millions)",Operating,,Operating,,Operating,Ridership,Seat Miles Passenger Miles,Average,,Train Miles,
"",Revenue,,Expense,,Earnings,(in Thousands),(in Millions) (in Millions),Load Factor,OTP,(in Millions),Frequencies
NEC:,,,,,,,,,,,
Acela,$132.3,$,158.9,$,(26.6),865.6,317.9 172.4,47%,83.5%,1.0,"2,610.0"
Regional,248.4,,268.2,,(19.9),"2,924.8",969.1 524.5,52%,80.9%,2.2,"6,064.2"
NEC Special Trains & Adjustments,2.9,,4.4,,(1.5),0.0,1.8 0.0,N/A,N/A,0.0,151.0
NEC,$383.5,$,431.5,$,(48.0),"3,790.5","1,288.8 696.9",51%,81.5%,3.3,"8,825.2"
State Supported:,,,,,,,,,,,
Ethan Allen Express,$1.2,$,2.8,$,(1.6),22.0,11.1 1.2,11%,92.8%,0.0,149.8
Vermonter,4.5,,4.7,,(0.2),38.9,25.9 4.4,17%,84.8%,0.1,141.5
Maple Leaf,15.9,,19.1,,(3.2),173.0,117.2 32.5,28%,83.5%,0.3,753.4
The Downeaster,8.4,,9.2,,(0.9),178.6,76.1 15.6,20%,82.0%,0.3,"1,789.0"
New Haven - Springfield,10.5,,16.6,,(6.0),147.5,49.1 8.5,20%,88.2%,0.2,"2,816.0"
Keystone Service,16.0,,35.0,,(19.0),347.7,109.4 23.7,20%,93.7%,0.3,"1,971.4"
Empire Service,27.7,,37.2,,(9.5),455.0,143.1 73.9,50%,92.0%,0.4,"2,193.5"
Chicago-St.Louis,18.2,,19.5,,(1.3),209.8,115.0 39.1,35%,77.2%,0.4,"1,443.0"
Hiawathas,9.7,,11.6,,(1.9),199.0,39.7 16.0,34%,94.4%,0.2,"2,255.0"
Wolverines,16.8,,20.2,,(3.4),157.6,83.4 34.5,41%,55.8%,0.3,"1,078.0"
Illini,10.2,,8.2,,2.0,120.0,79.1 19.4,27%,57.0%,0.2,576.0
ILLINOIS Zephyr,9.0,,7.5,,1.5,63.0,37.9 10.4,27%,83.8%,0.2,723.0
Heartland Flyer,3.5,,4.0,,(0.5),26.8,12.9 4.9,37%,71.2%,0.1,357.0
Pacific Surfliner,46.1,,55.3,,(9.2),657.3,325.1 64.9,19%,82.7%,0.8,"3,679.0"
Cascades,17.9,,20.7,,(2.8),163.8,59.2 25.4,38%,57.6%,0.3,"1,077.7"
Capitols,24.2,,27.4,,(3.1),288.6,123.6 21.7,16%,83.2%,0.5,"3,776.0"
San Joaquins,38.3,,42.4,,(4.1),310.7,257.9 45.4,17%,75.2%,0.7,"2,149.0"
Adirondack,0.9,,1.0,,(0.1),0.0,0.0 0.0,0%,0.0%,0.0,0.0
Blue Water,6.7,,7.7,,(1.1),62.0,39.1 12.0,30%,57.7%,0.1,362.0
Washington-Lynchburg,4.8,,5.5,,(0.7),83.5,37.9 12.0,31%,79.4%,0.1,133.0
Washington - Newport News,6.4,,8.5,,(2.1),104.7,42.4 13.2,26%,74.4%,0.1,175.7
Washington - Norfolk,7.5,,9.5,,(2.0),99.8,65.2 13.5,19%,74.4%,0.1,239.7
Washington - Richmond,4.4,,3.3,,1.1,28.5,18.8 2.4,12%,74.4%,0.0,87.2
Hoosier State,-,,-,,-,0.0,0.0 0.0,0%,0.0%,0.0,0.0
Kansas City-St.Louis,6.1,,5.8,,0.3,53.2,33.0 10.1,34%,67.8%,0.1,537.0
Pennsylvanian,7.2,,9.9,,(2.7),78.3,37.9 16.5,43%,68.3%,0.1,287.3
Gulf Coast Limited,-,,0.0,,(0.0),0.0,0.0 0.0,0%,0.0%,0.0,0.0
Pere Marquette,3.5,,5.3,,(1.8),34.2,13.0 5.2,41%,69.5%,0.1,359.0
Carolinian,9.7,,10.2,,(0.5),111.8,62.7 23.7,39%,71.8%,0.2,244.4
Piedmont,4.5,,4.5,,(0.0),93.8,30.8 11.1,34%,75.8%,0.2,"1,060.0"
Non Nec Special Trains & Adjustments,0.7,,8.3,,(7.6),0.0,2.8 0.0,N/A,N/A,0.1,459.0
State Supported,$340.6,$,420.8,$,(80.3),"4,308.7","2,049.2 561.3",27%,80.5%,6.5,"30,872.6"
Long Distance:,,,,,,,,,,,
Silver Star,$20.4,$,48.5,$,(28.1),174.7,156.8 80.6,49%,35.4%,0.5,361.0
Cardinal,3.6,,12.4,,(8.8),38.0,26.6 13.0,44%,56.4%,0.2,150.0
Silver Meteor,11.1,,22.6,,(11.5),79.2,76.0 41.8,51%,44.2%,0.3,214.0
Empire Builder,17.9,,51.5,,(33.6),128.5,196.0 80.8,40%,44.3%,0.8,610.0
Capitol Limited,6.9,,17.6,,(10.7),66.4,50.1 28.6,57%,32.6%,0.3,322.0
California Zephyr,23.3,,55.9,,(32.6),145.5,180.2 89.4,48%,44.1%,0.8,394.0
Southwest Chief,17.5,,46.5,,(29.0),93.9,158.4 80.9,51%,42.9%,0.7,320.0
City of New Orleans,6.6,,19.3,,(12.7),74.1,72.6 28.6,36%,72.9%,0.3,320.0
Texas Eagle,9.9,,24.8,,(14.8),107.9,80.4 52.2,61%,64.5%,0.4,326.0
Sunset Limited,5.0,,25.1,,(20.1),33.1,77.9 24.2,31%,35.3%,0.3,153.0
Coast Starlight,17.7,,40.7,,(23.0),143.1,127.0 62.9,47%,56.6%,0.4,324.0
Lake Shore Limited,12.4,,31.5,,(19.1),135.4,106.4 53.7,47%,60.3%,0.4,622.0
Palmetto,10.7,,20.0,,(9.3),125.4,77.5 28.7,36%,75.3%,0.3,353.0
Crescent,12.9,,31.6,,(18.8),101.4,100.5 40.1,39%,58.2%,0.4,330.0
Auto Train,57.7,,45.3,,12.4,136.8,183.5 77.2,43%,30.7%,0.3,356.0
Long Distance Adjustments,0.0,,12.7,,(12.7),N/A,N/A N/A,N/A,N/A,N/A,N/A
